"","chr.type","chr","loc.name","pos","mQTL.lod","mQTL.asymp.p","vQTL.lod","vQTL.asymp.p","mvQTL.lod","mvQTL.asymp.p","m__est__(Intercept)","m__est__Env","m__est__mean.QTL.add","m__est__mean.QTL.dom","m__est__Env:mean.QTL.add","m__est__Env:mean.QTL.dom","m__se__(Intercept)","m__se__Env","m__se__mean.QTL.add","m__se__mean.QTL.dom","m__se__Env:mean.QTL.add","m__se__Env:mean.QTL.dom","v__est__(Intercept)","v__est__Env","v__est__var.QTL.add","v__est__var.QTL.dom","v__est__Env:var.QTL.add","v__est__Env:var.QTL.dom","v__se__(Intercept)","v__se__Env","v__se__var.QTL.add","v__se__var.QTL.dom","v__se__Env:var.QTL.add","v__se__Env:var.QTL.dom"
"1","A","1","gpm27",0.01,1.94746132667003,0.745421705040666,4.99186918803362,0.288132785250582,8.21881891546804,0.412392549819974,71.0522897668055,-1.56527109809641,-1.12831413290467,45.2418783767068,0.0330938410579941,9.83238490428937,0.603592025017739,0.114024818570407,0.384786521606912,59.5474333110471,0.0723001203604968,11.7408720744737,5.54387542586819,-0.0576097352767238,-0.0328593235480968,-33.1429613471191,-0.0149663655592227,5.69100866728829,0.0837594965036422,0.0165336612538281,0.0557461475709528,9.45586619832411,0.0109912051533178,1.86792130884224
"2","A","1","tub1",0.81,2.96442767847505,0.563795884361927,8.79624092340619,0.0663992424554492,12.0970184846773,0.146927369042656,71.5855695161752,-1.64008438777014,-1.44977132137681,93.5401708999105,0.0901705717130826,80.0551043855244,0.579378857432173,0.109929639754906,0.390589948700836,89.1425534832272,0.0731930388545519,19.0537059358162,5.48406533475174,-0.0458423081759778,-0.025968925254316,-158.327620755006,-0.0147931077992124,12.8196607737286,0.0832731589063564,0.0164443728018624,0.0579940965711498,29.5461183621095,0.0114342114959091,5.89881493283101
"3","A","1","gpm113b",0.82,7.17245864203902,0.127050436540153,0.72058193536567,0.948766704104893,9.44252780824604,0.306349864404349,71.5619542502119,-1.63708959217362,-1.6066377312636,3758.91757743705,0.133292766970439,-435.104933132675,0.579287652948296,0.109919158947718,0.384501210884888,789.785201257847,0.0723970288011118,134.650950908599,5.4831027726251,-0.0456897307027673,-0.0699360733367863,81.4926589734557,-0.00864244905903351,-23.1448160889986,0.0840369053882498,0.0165951650715501,0.0581939572510365,123.840461712553,0.0114780013797327,23.9769254760876
"4","A","1","gpm705a",0.84,7.8422902957531,0.0975291578492903,0.774610737790543,0.94181907579311,10.1572664326127,0.25416097277936,71.5644641513732,-1.64784058838917,-1.67202839287849,1464.83298821232,0.156131798523871,-198.558334099098,0.579026043437338,0.109838361245925,0.38503744166293,300.156745609451,0.0724923228829796,52.8154788236532,5.48432410650265,-0.0458013029862706,-0.072343911766038,27.9110179624284,-0.00852956903474119,-6.79307909311579,0.0837298589758272,0.0165344145927916,0.0581621415852142,45.8453798841318,0.0114708112714274,8.94553137439599
"5","A","1","gpm325a",4.97,7.90940121514954,0.0949538909237203,1.18750522406354,0.880151485961612,10.3795742120223,0.239388663878288,71.9686841562812,-1.77137703153262,-1.89502460959547,32.2894078834224,0.24737395938263,-3.11202522225687,0.586963164885546,0.111295034191207,0.384550657476917,8.95443970716642,0.0724345024209011,1.52440789502093,5.50930048952825,-0.0483260371455513,-0.0929010889251012,0.40832311222518,-0.00609203865391732,-0.273849074294411,0.0823938229657145,0.0162997170781221,0.0566811362894369,1.43584113087274,0.0111836770115808,0.277212517614402
"6","A","1","dmt103b",6.89,6.13587400125401,0.189228308941179,3.8415668561451,0.427871847274266,11.1936110063777,0.190968419002398,72.2980993134915,-1.75885180912485,-1.8303711194646,-4259.7550911831,0.215754849268179,179.03594993875,0.597155716104704,0.11250693628754,0.384944958396406,1925.82759582917,0.0721339043076471,329.622150021763,5.51803332439721,-0.0463583904855951,-0.134162767787749,674.495198092773,0.00202810681897175,-219.57974483407,0.0903827476124797,0.0178733032349194,0.0615777392823809,313.01737033231,0.0121476059057228,61.3927114416853
"7","A","1","gpm699d",8.67,5.98025451210845,0.200627739188887,2.99464452702069,0.558722025647029,10.0383568896562,0.262344081840588,72.2012467706458,-1.92611399627971,-2.02898675657715,31.7639921207618,0.309233161667638,201.46675684038,0.638025083762341,0.120714508931433,0.394387977790484,321.26609879571,0.0741558670594795,61.4221908595382,5.58967766543063,-0.0535619418738801,-0.121949761810701,-120.255463774729,-0.00699204562155165,7.37300361127982,0.0866522933509776,0.0171658853907324,0.0570255889939272,52.4555824953868,0.011258043137662,10.3334803149548
"8","A","1","gpm319",14.82,6.7426560742321,0.15012887673681,4.41199616057123,0.353110364047169,11.930385305081,0.154337051751898,72.180868846567,-1.70973074691537,-1.9846587762074,12.3169205987185,0.214329650537165,-4.26347265413526,0.624000721063226,0.117132592851999,0.393739332313264,5.26466602537159,0.0739052810516805,0.949780703398952,5.57844835085328,-0.0568823329615855,-0.160061706573574,1.15636769218209,0.00188231306103212,-0.251270279574784,0.0842139046236705,0.0166255493044303,0.0566057296855829,0.695999757034739,0.0111555113432365,0.142199832483835
"9","A","1","IDP1447",19.92,1.20338202924424,0.877541475399638,7.76144832629824,0.100718018760456,9.06690248561438,0.336683635816977,70.8300878822332,-1.73051845398135,-0.706529779991083,-11.2228984907636,0.197658467966447,4.09088331923894,0.576257408973596,0.106892059221618,0.384325323535234,6.46758433211585,0.0720097646393176,1.28013298882431,5.62243954910023,-0.0671804445794015,-0.197920040032913,-4.15131392551028,0.00947820837946624,0.300424163616157,0.0827204261154494,0.016269751791556,0.0599143352969565,1.57399169768119,0.011822491755596,0.304797569371725
"10","A","1","bnl5.62a",21.12,1.27762384575968,0.865160378259659,5.63738422757491,0.227914634919545,7.33916479120338,0.500520096833375,71.0673561015464,-1.79528971037668,-0.750106482581381,-133663.891507294,0.214866805773465,35998.2802513577,0.615936788382488,0.114062004059982,0.386614160091021,72513.9769177888,0.0724038728238415,13491.8502308074,5.6549439986795,-0.0664528690015155,-0.213305062497353,-16362.2527777452,0.00995818556283171,-376.595470233438,0.0886467326326973,0.0173825551269492,0.060786654251567,12147.5302991911,0.0119821359348227,2393.40209290709
